"Positie houder";"Naam van de emittent";"ISIN";"Netto Shortpositie";"Positiedatum"
"AQR Capital Management, LLC";"Koninklijke Vopak N.V.";"NL0009432491";"1,30";"2017-08-02 00:00:00"
"Connor, Clark & Lunn Investment Management Ltd.";"Fugro N.V.";"NL0000352565";"0,52";"2017-08-02 00:00:00"
"Macquarie Funds Management Hong Kong Limited";"Ordina N.V.";"NL0000440584";"0,68";"2017-08-02 00:00:00"
"Marshall Wace LLP";"Wereldhave N.V.";"NL0000289213";"1,22";"2017-08-02 00:00:00"
"B&G Master Fund Plc";"NN Group N.V.";"NL0010773842";"0,50";"2017-07-31 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"1,29";"2017-07-31 00:00:00"
"Millennium International Management LP";"Galapagos N.V.";"BE0003818359";"0,51";"2017-07-31 00:00:00"
"Tybourne Equity Master Fund";"Philips Lighting N.V.";"NL0011821392";"1,81";"2017-07-31 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,81";"2017-07-28 00:00:00"
"BlackRock Institutional Trust Company, National Association";"SBM Offshore N.V.";"NL0000360618";"0,60";"2017-07-28 00:00:00"
"GSA Capital Partners LLP";"Brunel International N.V.";"NL0000343432";"0,50";"2017-07-28 00:00:00"
"Macquarie Funds Management Hong Kong Limited";"BinckBank N.V.";"NL0000335578";"0,60";"2017-07-28 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"1,31";"2017-07-28 00:00:00"
"CQS (UK) LLP";"BE Semiconductor Industries N.V.";"NL0000339760";"0,93";"2017-07-27 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"1,41";"2017-07-27 00:00:00"
"Marshall Wace LLP";"Wereldhave N.V.";"NL0000289213";"1,13";"2017-07-27 00:00:00"
"Marshall Wace LLP";"Wereldhave N.V.";"NL0000289213";"0,96";"2017-07-26 00:00:00"
"BlackRock Investment Management (UK) Limited";"Koninklijke BAM Groep N.V.";"NL0000337319";"1,10";"2017-07-25 00:00:00"
"CQS (UK) LLP";"BE Semiconductor Industries N.V.";"NL0000339760";"0,84";"2017-07-25 00:00:00"
"Marshall Wace LLP";"Wereldhave N.V.";"NL0000289213";"0,81";"2017-07-25 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Vopak N.V.";"NL0009432491";"1,20";"2017-07-24 00:00:00"
"Macquarie Funds Management Hong Kong Limited";"Ordina N.V.";"NL0000440584";"0,79";"2017-07-24 00:00:00"
"Marshall Wace LLP";"Gemalto N.V.";"NL0000400653";"0,50";"2017-07-24 00:00:00"
"Marshall Wace LLP";"PostNL N.V.";"NL0009739416";"0,60";"2017-07-21 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,71";"2017-07-20 00:00:00"
"BlackRock Investment Management (UK) Limited";"ARCADIS N.V.";"NL0006237562";"0,50";"2017-07-20 00:00:00"
"BlackRock Investment Management (UK) Limited";"Koninklijke BAM Groep N.V.";"NL0000337319";"1,00";"2017-07-20 00:00:00"
"Marshall Wace LLP";"PostNL N.V.";"NL0009739416";"0,59";"2017-07-20 00:00:00"
"Marshall Wace LLP";"Wereldhave N.V.";"NL0000289213";"0,79";"2017-07-20 00:00:00"
"Oxford Asset Management";"Galapagos N.V.";"BE0003818359";"0,71";"2017-07-20 00:00:00"
"AQR Capital Management, LLC";"Altice N.V.";"NL0011333752";"0,90";"2017-07-19 00:00:00"
"Arrowstreet Capital, Limited Partnership";"Fugro N.V.";"NL0000352565";"0,50";"2017-07-19 00:00:00"
"BlackRock Investment Management (UK) Limited";"BinckBank N.V.";"NL0000335578";"1,24";"2017-07-19 00:00:00"
"GSA Capital Partners LLP";"BinckBank N.V.";"NL0000335578";"1,01";"2017-07-19 00:00:00"
"AKO Capital LLP";"TKH Group N.V.";"NL0000852523";"0,78";"2017-07-18 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"1,68";"2017-07-18 00:00:00"
"Marshall Wace LLP";"PostNL N.V.";"NL0009739416";"0,60";"2017-07-18 00:00:00"
"Marshall Wace LLP";"Wereldhave N.V.";"NL0000289213";"0,80";"2017-07-18 00:00:00"
"AKO Capital LLP";"TKH Group N.V.";"NL0000852523";"0,81";"2017-07-17 00:00:00"
"BlackRock Institutional Trust Company, National Association";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"0,50";"2017-07-17 00:00:00"
"HBK Investments LP";"Fugro N.V.";"NL0000352565";"1,13";"2017-07-17 00:00:00"
"Marshall Wace LLP";"Wereldhave N.V.";"NL0000289213";"0,78";"2017-07-17 00:00:00"
"Millennium International Management LP";"Wereldhave N.V.";"NL0000289213";"1,19";"2017-07-17 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"1,70";"2017-07-14 00:00:00"
"Marshall Wace LLP";"Wereldhave N.V.";"NL0000289213";"0,81";"2017-07-14 00:00:00"
"Philadelphia Financial Management of San Francisco, LLC";"Flow Traders N.V.";"NL0011279492";"1,03";"2017-07-14 00:00:00"
"AHL Partners LLP";"SBM Offshore N.V.";"NL0000360618";"0,52";"2017-07-13 00:00:00"
"AKO Capital LLP";"TKH Group N.V.";"NL0000852523";"1,07";"2017-07-13 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,61";"2017-07-13 00:00:00"
"Marshall Wace LLP";"Wereldhave N.V.";"NL0000289213";"1,10";"2017-07-13 00:00:00"
"AKO Capital LLP";"TKH Group N.V.";"NL0000852523";"1,13";"2017-07-12 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Vopak N.V.";"NL0009432491";"1,10";"2017-07-12 00:00:00"
"BlackRock Investment Management (UK) Limited";"Brunel International N.V.";"NL0010776944";"1,10";"2017-07-12 00:00:00"
"BlackRock Investment Management (UK) Limited";"Koninklijke Wessanen N.V.";"NL0000395317";"0,60";"2017-07-12 00:00:00"
"BlackRock Investment Management (UK) Limited";"Wereldhave N.V.";"NL0000289213";"0,62";"2017-07-12 00:00:00"
"Marshall Wace LLP";"Wereldhave N.V.";"NL0000289213";"1,09";"2017-07-11 00:00:00"
"BlackRock Institutional Trust Company, National Association";"SBM Offshore N.V.";"NL0000360618";"0,50";"2017-07-10 00:00:00"
"Macquarie Funds Management Hong Kong Limited";"Ordina N.V.";"NL0000440584";"0,89";"2017-07-10 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,52";"2017-07-06 00:00:00"
"HBK Investments LP";"Fugro N.V.";"NL0000352565";"1,04";"2017-07-06 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"1,61";"2017-07-06 00:00:00"
"AQR Capital Management, LLC";"Altice N.V.";"NL0011333752";"0,86";"2017-07-05 00:00:00"
"BlackRock Investment Management (UK) Limited";"Brunel International N.V.";"NL0010776944";"1,09";"2017-07-05 00:00:00"
"BlackRock Investment Management (UK) Limited";"Brunel International N.V.";"NL0010776944";"1,10";"2017-07-03 00:00:00"
"BlackRock Investment Management (UK) Limited";"Wereldhave N.V.";"NL0000289213";"0,50";"2017-07-03 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"1,53";"2017-07-03 00:00:00"
"Marshall Wace LLP";"PostNL N.V.";"NL0009739416";"0,51";"2017-07-03 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"1,47";"2017-06-30 00:00:00"
"Marshall Wace LLP";"Wereldhave N.V.";"NL0000289213";"1,10";"2017-06-30 00:00:00"
"HBK Investments LP";"Fugro N.V.";"NL0000352565";"0,96";"2017-06-29 00:00:00"
"Macquarie Funds Management Hong Kong Limited";"BinckBank N.V.";"NL0000335578";"0,50";"2017-06-29 00:00:00"
"AQR Capital Management, LLC";"Koninklijke KPN N.V.";"NL0000009082";"1,10";"2017-06-28 00:00:00"
"Capital Fund Management S.A.";"Wereldhave N.V.";"NL0000289213";"0,59";"2017-06-28 00:00:00"
"Odey Asset Management LLP";"AEGON N.V.";"NL0000303709";"0,53";"2017-06-28 00:00:00"
"Oxford Asset Management";"Ordina N.V.";"NL0000440584";"0,59";"2017-06-28 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Vopak N.V.";"NL0009432491";"1,01";"2017-06-27 00:00:00"
"BlackRock Investment Management (UK) Limited";"Koninklijke BAM Groep N.V.";"NL0000337319";"0,90";"2017-06-27 00:00:00"
"Philadelphia Financial Management of San Francisco, LLC";"Flow Traders N.V.";"NL0011279492";"1,24";"2017-06-27 00:00:00"
"HBK Investments LP";"Fugro N.V.";"NL0000352565";"0,89";"2017-06-26 00:00:00"
"AQR Capital Management, LLC";"OCI N.V.";"NL0010558797";"0,50";"2017-06-23 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,40";"2017-06-23 00:00:00"
"BlackRock Investment Management (UK) Limited";"Brunel International N.V.";"NL0010776944";"1,02";"2017-06-23 00:00:00"
"Macquarie Funds Management Hong Kong Limited";"Ordina N.V.";"NL0000440584";"0,99";"2017-06-23 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"1,31";"2017-06-23 00:00:00"
"Millennium International Management LP";"Wereldhave N.V.";"NL0000289213";"1,23";"2017-06-23 00:00:00"
"Millennium International Management LP";"Wereldhave N.V.";"NL0000289213";"1,12";"2017-06-22 00:00:00"
"BlackRock Investment Management (UK) Limited";"Koninklijke BAM Groep N.V.";"NL0000337319";"0,82";"2017-06-21 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"1,22";"2017-06-21 00:00:00"
"Millennium International Management LP";"Wereldhave N.V.";"NL0000289213";"1,05";"2017-06-21 00:00:00"
"Oxford Asset Management";"Galapagos N.V.";"BE0003818359";"0,60";"2017-06-21 00:00:00"
"Philadelphia Financial Management of San Francisco, LLC";"Flow Traders N.V.";"NL0011279492";"0,82";"2017-06-21 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,36";"2017-06-20 00:00:00"
"HBK Investments LP";"Fugro N.V.";"NL0000352565";"0,90";"2017-06-20 00:00:00"
"Millennium International Management LP";"Wereldhave N.V.";"NL0000289213";"0,98";"2017-06-20 00:00:00"
"AQR Capital Management, LLC";"Altice N.V.";"NL0011333752";"0,91";"2017-06-19 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Vopak N.V.";"NL0009432491";"0,90";"2017-06-19 00:00:00"
"HBK Investments LP";"Fugro N.V.";"NL0000352565";"0,88";"2017-06-19 00:00:00"
"BlackRock Investment Management (UK) Limited";"Brunel International N.V.";"NL0010776944";"0,91";"2017-06-16 00:00:00"
"HBK Investments LP";"Fugro N.V.";"NL0000352565";"0,90";"2017-06-16 00:00:00"
"GSA Capital Partners LLP";"BinckBank N.V.";"NL0000335578";"0,98";"2017-06-15 00:00:00"
"Marshall Wace LLP";"Wereldhave N.V.";"NL0000289213";"1,09";"2017-06-15 00:00:00"
"AKO Capital LLP";"TKH Group N.V.";"NL0000852523";"1,29";"2017-06-14 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,21";"2017-06-09 00:00:00"
"Macquarie Funds Management Hong Kong Limited";"Brunel International N.V.";"NL0010776944";"0,81";"2017-06-09 00:00:00"
"Tybourne Equity Master Fund";"Philips Lighting N.V.";"NL0011821392";"1,76";"2017-06-09 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,19";"2017-06-08 00:00:00"
"GSA Capital Partners LLP";"BinckBank N.V.";"NL0000335578";"1,05";"2017-06-08 00:00:00"
"AQR Capital Management, LLC";"Koninklijke KPN N.V.";"NL0000009082";"1,00";"2017-06-07 00:00:00"
"BlackRock Investment Management (UK) Limited";"Koninklijke BAM Groep N.V.";"NL0000337319";"0,70";"2017-06-07 00:00:00"
"BlueMountain Capital Management, LLC";"Gemalto N.V.";"NL0000400653";"0,50";"2017-06-07 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,20";"2017-06-06 00:00:00"
"BlackRock Investment Management (UK) Limited";"Koninklijke BAM Groep N.V.";"NL0000337319";"0,69";"2017-06-06 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"1,10";"2017-06-06 00:00:00"
"Marshall Wace LLP";"Wereldhave N.V.";"NL0000289213";"1,18";"2017-06-06 00:00:00"
"BlackRock Investment Management (UK) Limited";"Basic-Fit N.V.";"NL0011872650";"0,70";"2017-06-05 00:00:00"
"Capital Fund Management S.A.";"Wereldhave N.V.";"NL0000289213";"0,69";"2017-06-02 00:00:00"
"CQS (UK) LLP";"BE Semiconductor Industries N.V.";"NL0000339760";"0,70";"2017-06-02 00:00:00"
"GSA Capital Partners LLP";"BinckBank N.V.";"NL0000335578";"1,19";"2017-06-01 00:00:00"
"HBK Investments LP";"Fugro N.V.";"NL0000352565";"0,89";"2017-06-01 00:00:00"
"GSA Capital Partners LLP";"BinckBank N.V.";"NL0000335578";"1,20";"2017-05-31 00:00:00"
"HBK Investments LP";"Fugro N.V.";"NL0000352565";"0,90";"2017-05-31 00:00:00"
"Macquarie Funds Management Hong Kong Limited";"Brunel International N.V.";"NL0010776944";"0,70";"2017-05-29 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Vopak N.V.";"NL0009432491";"0,80";"2017-05-25 00:00:00"
"BlackRock Investment Management (UK) Limited";"Brunel International N.V.";"NL0010776944";"0,80";"2017-05-25 00:00:00"
"Macquarie Funds Management Hong Kong Limited";"Ordina N.V.";"NL0000440584";"1,00";"2017-05-25 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"1,03";"2017-05-24 00:00:00"
"BlackRock Investment Management (UK) Limited";"Koninklijke Wessanen N.V.";"NL0000395317";"0,59";"2017-05-23 00:00:00"
"Macquarie Funds Management Hong Kong Limited";"Ordina N.V.";"NL0000440584";"0,97";"2017-05-23 00:00:00"
"Millennium International Management LP";"Wereldhave N.V.";"NL0000289213";"0,83";"2017-05-23 00:00:00"
"BlackRock Investment Management (UK) Limited";"Basic-Fit N.V.";"NL0011872650";"0,61";"2017-05-22 00:00:00"
"AQR Capital Management, LLC";"Altice N.V.";"NL0011333752";"0,80";"2017-05-19 00:00:00"
"CQS (UK) LLP";"Aperam";"LU0569974404";"3,40";"2017-05-19 00:00:00"
"GSA Capital Partners LLP";"BinckBank N.V.";"NL0000335578";"1,10";"2017-05-19 00:00:00"
"Oxford Asset Management";"Galapagos N.V.";"BE0003818359";"0,51";"2017-05-19 00:00:00"
"Millennium International Management LP";"Wereldhave N.V.";"NL0000289213";"0,71";"2017-05-18 00:00:00"
"AKO Capital LLP";"TKH Group N.V.";"NL0000852523";"1,33";"2017-05-17 00:00:00"
"BlackRock Investment Management (UK) Limited";"Koninklijke BAM Groep N.V.";"NL0000337319";"0,71";"2017-05-17 00:00:00"
"Macquarie Funds Management Hong Kong Limited";"Ordina N.V.";"NL0000440584";"1,09";"2017-05-17 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,18";"2017-05-16 00:00:00"
"CQS (UK) LLP";"BE Semiconductor Industries N.V.";"NL0000339760";"0,66";"2017-05-16 00:00:00"
"GSA Capital Partners LLP";"BinckBank N.V.";"NL0000335578";"1,02";"2017-05-16 00:00:00"
"BlackRock Investment Management (UK) Limited";"Koninklijke BAM Groep N.V.";"NL0000337319";"0,66";"2017-05-15 00:00:00"
"CQS (UK) LLP";"BE Semiconductor Industries N.V.";"NL0000339760";"0,52";"2017-05-15 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"0,90";"2017-05-15 00:00:00"
"BlackRock Investment Management (UK) Limited";"Brunel International N.V.";"NL0010776944";"0,70";"2017-05-12 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Vopak N.V.";"NL0009432491";"0,71";"2017-05-11 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,20";"2017-05-11 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"0,89";"2017-05-11 00:00:00"
"BlackRock Investment Management (UK) Limited";"Basic-Fit N.V.";"NL0011872650";"0,50";"2017-05-10 00:00:00"
"Lansdowne Partners (UK) LLP";"Koninklijke Ahold Delhaize N.V.";"NL0011794037";"0,64";"2017-05-10 00:00:00"
"Capital Fund Management S.A.";"Wereldhave N.V.";"NL0000289213";"0,70";"2017-05-09 00:00:00"
"GSA Capital Partners LLP";"BinckBank N.V.";"NL0000335578";"0,90";"2017-05-09 00:00:00"
"JPMorgan Asset Management (UK) Ltd.";"Fugro N.V.";"NL0000352565";"1,29";"2017-05-09 00:00:00"
"Marshall Wace LLP";"Wereldhave N.V.";"NL0000289213";"1,22";"2017-05-09 00:00:00"
"Tybourne Equity Master Fund";"Philips Lighting N.V.";"NL0011821392";"1,82";"2017-05-09 00:00:00"
"BlackRock Investment Management (UK) Limited";"BinckBank N.V.";"NL0000335578";"1,18";"2017-05-08 00:00:00"
"BlackRock Investment Management (UK) Limited";"Koninklijke BAM Groep N.V.";"NL0000337319";"0,51";"2017-05-08 00:00:00"
"Millennium International Management LP";"Wereldhave N.V.";"NL0000289213";"0,68";"2017-05-08 00:00:00"
"Tybourne Equity Master Fund";"Philips Lighting N.V.";"NL0011821392";"1,96";"2017-05-08 00:00:00"
"BNP Paribas S.A.";"Koninklijke KPN N.V.";"NL0000009082";"0,58";"2017-05-05 00:00:00"
"JPMorgan Asset Management (UK) Ltd.";"TomTom N.V.";"NL0000387058";"1,07";"2017-05-05 00:00:00"
"Lansdowne Partners (UK) LLP";"Koninklijke Ahold Delhaize N.V.";"NL0011794037";"0,51";"2017-05-05 00:00:00"
"Tybourne Equity Master Fund";"Philips Lighting N.V.";"NL0011821392";"2,06";"2017-05-05 00:00:00"
"CQS (UK) LLP";"Aperam";"LU0569974404";"3,35";"2017-05-04 00:00:00"
"JPMorgan Asset Management (UK) Ltd.";"Fugro N.V.";"NL0000352565";"0,82";"2017-05-04 00:00:00"
"HBK Investments LP";"Fugro N.V.";"NL0000352565";"0,88";"2017-05-03 00:00:00"
"Macquarie Funds Management Hong Kong Limited";"Ordina N.V.";"NL0000440584";"1,10";"2017-05-03 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"0,90";"2017-05-03 00:00:00"
"HBK Investments LP";"Fugro N.V.";"NL0000352565";"0,98";"2017-05-02 00:00:00"
"BlackRock Investment Management (UK) Limited";"BinckBank N.V.";"NL0000335578";"1,20";"2017-04-28 00:00:00"
"Macquarie Funds Management Hong Kong Limited";"Ordina N.V.";"NL0000440584";"1,09";"2017-04-28 00:00:00"
"Millennium International Management LP";"Wereldhave N.V.";"NL0000289213";"0,78";"2017-04-28 00:00:00"
"Tybourne Equity Master Fund";"Philips Lighting N.V.";"NL0011821392";"2,11";"2017-04-28 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,19";"2017-04-27 00:00:00"
"Millennium International Management LP";"Wereldhave N.V.";"NL0000289213";"0,81";"2017-04-27 00:00:00"
"GSA Capital Partners LLP";"BinckBank N.V.";"NL0000335578";"0,80";"2017-04-26 00:00:00"
"Marshall Wace LLP";"Wereldhave N.V.";"NL0000289213";"1,11";"2017-04-26 00:00:00"
"AKO Capital LLP";"TKH Group N.V.";"NL0000852523";"1,20";"2017-04-24 00:00:00"
"Marshall Wace LLP";"Wereldhave N.V.";"NL0000289213";"1,05";"2017-04-24 00:00:00"
"AKO Capital LLP";"TKH Group N.V.";"NL0000852523";"1,04";"2017-04-21 00:00:00"
"AKO Capital LLP";"TKH Group N.V.";"NL0000852523";"0,92";"2017-04-20 00:00:00"
"AKO Capital LLP";"TKH Group N.V.";"NL0000852523";"0,89";"2017-04-19 00:00:00"
"Millennium International Management LP";"Wereldhave N.V.";"NL0000289213";"0,77";"2017-04-19 00:00:00"
"AKO Capital LLP";"TKH Group N.V.";"NL0000852523";"0,64";"2017-04-18 00:00:00"
"Macquarie Funds Management Hong Kong Limited";"Ordina N.V.";"NL0000440584";"1,19";"2017-04-18 00:00:00"
